epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1119.27,1.63283,2.4947,1.14768,1.3461,0.80193,0.68265,0.78501,0.43628,0.78667,0.66747,0.75578,0.38603,1.5962,2.54914,1.14868,1.36012,0.00604,0.00604,0.00604
42,1145.66,1.60682,2.46456,1.11493,1.33098,0.78482,0.64445,0.74893,0.41848,0.78782,0.62733,0.72559,0.37604,1.62935,2.55051,1.23339,1.36579,0.005941,0.005941,0.005941
43,1171.77,1.67873,2.55605,1.17045,1.36781,0.77424,0.66084,0.75576,0.42167,0.7641,0.64721,0.73358,0.37617,1.62464,2.58119,1.14314,1.36096,0.005842,0.005842,0.005842
44,1200.89,1.64593,2.53893,1.11721,1.3466,0.79988,0.71807,0.8079,0.45648,0.79741,0.70929,0.79405,0.41362,1.5507,2.49731,1.07749,1.31746,0.005743,0.005743,0.005743
45,1228.43,1.62387,2.49299,1.11763,1.33811,0.80413,0.64805,0.74972,0.42095,0.8002,0.64127,0.73547,0.3778,1.61059,2.56072,1.23296,1.36442,0.005644,0.005644,0.005644
46,1254.86,1.63065,2.4965,1.12973,1.33941,0.78681,0.69328,0.78341,0.44522,0.79262,0.67581,0.76525,0.39752,1.56192,2.49763,1.07027,1.33315,0.005545,0.005545,0.005545
47,1281.71,1.63063,2.48027,1.09255,1.3318,0.75065,0.60173,0.68603,0.377,0.74162,0.57946,0.65657,0.33408,1.66076,2.6054,1.35383,1.41409,0.005446,0.005446,0.005446
48,1308.86,1.61242,2.4932,1.13318,1.34479,0.78553,0.70191,0.78755,0.44354,0.7837,0.6849,0.76676,0.3973,1.55455,2.52098,1.10702,1.33074,0.005347,0.005347,0.005347
49,1335.81,1.60004,2.45495,1.10514,1.31401,0.80608,0.72186,0.80943,0.45841,0.80838,0.70504,0.79346,0.41036,1.5519,2.45112,1.05239,1.31503,0.005248,0.005248,0.005248
50,1362.46,1.60153,2.44926,1.10728,1.32298,0.801,0.68687,0.78894,0.44748,0.78609,0.67141,0.76279,0.3956,1.54946,2.46561,1.08919,1.33201,0.005149,0.005149,0.005149
51,1389.22,1.60183,2.43101,1.05621,1.30482,0.8039,0.69096,0.79236,0.43066,0.79616,0.68065,0.77417,0.38613,1.64438,2.54194,1.13165,1.34502,0.00505,0.00505,0.00505
52,1416.06,1.60116,2.46586,1.12017,1.33461,0.7719,0.68798,0.77338,0.4349,0.76556,0.6799,0.75767,0.39282,1.57689,2.52417,1.14051,1.32759,0.004951,0.004951,0.004951
53,1442.47,1.61159,2.46157,1.10517,1.32796,0.79265,0.71262,0.80271,0.45634,0.79386,0.69716,0.78528,0.40978,1.56325,2.47729,1.05523,1.32238,0.004852,0.004852,0.004852
54,1469.17,1.60212,2.45542,1.08173,1.3089,0.78137,0.70115,0.78839,0.43422,0.78459,0.68732,0.77502,0.39253,1.60292,2.54754,1.11115,1.348,0.004753,0.004753,0.004753
55,1495.32,1.60093,2.4151,1.08816,1.32311,0.79518,0.69853,0.79342,0.44429,0.78726,0.68247,0.77613,0.39395,1.5892,2.49816,1.10015,1.34116,0.004654,0.004654,0.004654
56,1521.26,1.59072,2.427,1.05614,1.313,0.80479,0.71449,0.80943,0.45733,0.80377,0.69686,0.78561,0.40147,1.5606,2.47757,1.03133,1.32016,0.004555,0.004555,0.004555
